"id","name"
"43","Capilla de extracción"
"45","Tubos de thiele"
"46","Tubos para digestor de Nitrogeno"
"57","erlenmeyer 1 L"
"58","kitasato 2L"
"59","Probetas de vidrio de 500 mL"
"60","Probetas Vidrio 1L"
"61","Probetas Vidrio 2L"
"62","probetas 250 mL"
"63","Probeta 100 mL"
"64","Probeta 50 mL"
"65","Probeta 25 mL"
"66","Probeta 10 mL"
"68","Probeta 5 mL"
"69","Probeta esmerilada con tapa 100 mL"
"70","Kitasato 500 mL"
"71","Lentes de seguridad"
"73","balones aforados 100 mL"
"74","balones aforados 100 mL"
"78","Balón aforado 5mL"
"79","pipetas aforadas 100 mL"
"80","pipetas aforadas 50 mL"
"81","pipetas aforadas 50 mL"
"82","pipetas aforadas 30 mL"
"83","pipetas aforadas 40 mL"
"84","pipetas aforadas 20 mL"
"85","pipetas aforadas 25 mL"
"87","pipeta graduada 25 mL (1/10)"
"88","pipetas aforadas 9 mL"
"89","pipetas aforadas 8 mL"
"90","Columnas para cromatografía sin anillos"
"91","Papel cromatográfico Whatman"
"92","pipetas aforadas 15 mL"
"93","Papel filtro  Fischer Scientific"
"94","Papel Filtro RA 5,5"
"95","Óxido de aluminio"
"96","Placas de silice (cajas)"
"97","Mufla (gris)"
"105","Pastillas magnéticas con anillo 1,0 cm"
"107","Nitrato de plata"
"112","Embudo espiga corta 5,5 cm"
"114","Nitrato de plata"
"116","Baño de temperatura (plateado)"
"118","n-hexano"
"121","Metanol"
"123","1-Propanol"
"129","Capilla de extracción"
"162","Peróxido de hidrógeno 30%"
"164","Ácido clorhídrico Fumante"
"165","Ácido Bórico"
"166","Ácido bromhídrico"
"167","Ácido fluorhídrico"
"168","Ácido fosfórico"
"169","Ácido fosfórico"
"170","Ácido nítrico"
"171","Ácido nítrico"
"172","Ácido perclórico"
"173","Ácido perclórico"
"174","Ácido sulfámico"
"175","Ácido sulfúrico"
"176","Ácido sulfúrico"
"177","Ácido molíbdico"
"178","Hidróxido de amonio 25 %"
"179","Hidróxido de amonio 28-30 %"
"180","Ácido acético"
"181","Ácido acético"
"182","Ácido cloroacético"
"183","Ácido fórmico"
"184","Ácido láctico"
"185","Ácido oleico"
"186","Ácido oxálico"
"187","Ácido tricoloroacético"
"188","Ácido acetilsalicílico"
"189","Ácido bencílico"
"190","Ácido benzoico"
"191","Ácido cítrico"
"192","Ácido etilendiaminotetracético (EDTA)"
"193","Ácido glutámico"
"194","Ácido aspártico"
"195","Ácido málico"
"196","Ácido maléico"
"197","Ácido malónico"
"198","Ácido palmítico"
"199","Ácido salicílico"
"200","Ácido sulfanílico"
"201","Ácido tártarico"
"202","2-Naftol"
"203","2,4 - dinitrofenilhidracina"
"204","Acetanilida"
"205","Albúmina de huevo polvo"
"206","Albúmina huevo granular"
"207","Antrona"
"208","Azobenceno"
"209","Celulosa microcristalina"
"210","Citosina"
"211","Colesterol"
"212","D-(-)-Ribosa"
"213","D-(+)-Glucosa monohidratada"
"214","Dextrosa anhidra"
"215","D-(+)-Glucosa"
"216","D-(+)-Maltosa"
"217","D-(+)-Xilosa"
"218","D-(+)-Galactosa"
"219","Manta calentadora 500 mL"
"220","DL-Triptófano"
"221","Difenilamina"
"222","Dimetilglioxima anhidra"
"223","Fructosa"
"224","Gelatina"
"225","Glicina (Ácido aminoacético)"
"226","Guanina"
"227","L-Alanina"
"228","L-Arginina"
"229","L-Cisteína hidroclorada"
"230","L-Cisteína"
"231","L-Cistina"
"232","L-Fenilalanina"
"233","L-Histidina"
"235","L-Lisina monoclorhidrato"
"236","L-Triptófano"
"237","L-Serina"
"238","L-Valina"
"239","Lactosa monohidratada"
"240","L-Tirosina"
"242","Ninhidrina"
"243","Ninhidrina hidratada"
"244","Orcinol· H2O"
"245","Parafina"
"246","L-(+)-Lisina"
"247","Sacarosa"
"248","Sulfanilamida"
"250","Timina"
"251","Tripalmitina"
"252","Tris-(hidroximetil)-aminometano"
"253","Urea"
"254","Vainillina"
"255","Disulfato de aluminio y potasio dodecahidratado"
"256","Sulfato de aluminio octadecahidratado"
"257","Disilicato de aluminio hidratado"
"258","Cloruro de Amonio"
"259","Fosfato de amonio dibásico"
"260","Fosfato de amonio monobásico"
"261","Nitrato de amonio"
"262","Sulfato de hierro (II) y amonio  hexahidratado (Sal de Mohr)"
"263","Sulfato de hierro (III) y amonio dodecahidratado (cristales)"
"264","Sulfato de hierro (III) y amonio dodecahidratado (polvo)"
"265","Nitrato de bario"
"266","Óxido de bario"
"267","Carbonato de calcio"
"268","Cloruro de calcio anhidro polvo"
"269","Cloruro de calcio dihidratado"
"270","Cloruro de calcio granular"
"271","Nitrato de calcio"
"272","Sulfato de calcio anhidro, granular"
"273","Sulfato de calcio anhidro, polvo"
"274","Sulfato de calcio dihidratado"
"275","Cloruro de cesio"
"276","Cloruro de cobalto (II) hexahidratado"
"277","Sulfato de cobalto (II) heptahidratado"
"279","Acetato de cobre (II) monohidratado"
"280","Carbonato de cobre (II) básico"
"282","Nitrato de cromo (III) nonahidratado"
"283","Estaño metálico polvo"
"284","Estaño metálico granulado"
"285","Estaño metálico granalla"
"286","Hierro metálico polvo"
"287","Hierro metálico limaduras"
"288","Nitrato de hierro (III) nonahidratado"
"289","Óxido de hierro (III)"
"290","Sulfato de hierro (II) heptahidratado"
"291","Sulfato de hierro (II) hidrato"
"292","Sulfato de hierro (III) hidratado"
"293","Sulfuro de Hierro (II)"
"294","Óxido de lantano"
"295","Sulfato de litio monohidratado"
"296","Cloruro de magnesio hexahidratado"
"297","Magnesio metálico, cintas"
"298","Magnesio metálico pulverizado"
"299","Óxido de magnesio"
"300","Sulfato de magnesio heptahidratado"
"301","Óxido de manganeso (IV) granular"
"302","Sulfato de manganeso (II) monohidratado"
"303","Nitrato de níquel (II) hexahidratado"
"304","Sulfato de Níquel (II) heptahidratado"
"305","Nitrato de plata"
"306","Óxido de plata"
"307","Sulfato de plata"
"308","Yoduro de Plata"
"309","Sílica gel 100 (Columna)"
"310","Bromato de sodio"
"311","Acetato de sodio anhidro"
"312","Acetato de sodio trihidratado"
"313","Alginato de Sodio"
"314","Benzoato de sodio"
"315","Bisulfito  de sodio"
"316","m-Bisulfito sodio"
"317","Tetraborato de sodio anhidro"
"318","Tetraborato de sodio decahidratado"
"319","Borohidruro de sodio"
"320","Bromuro de sodio"
"321","Carbonato ácido de sodio"
"322","Carbonato de sodio anhidro"
"323","Citrato de sodio dihidratado"
"324","Cloruro de sodio"
"325","EDTA-2Na"
"326","Fosfato de sodio dodecahidratado"
"327","Fosfato ácido de sodio dihidratado"
"328","Fosfato ácido de sodio hidratado"
"329","Fosfato ácido de sodio dodecahidratado∙"
"330","Fosfato ácido disodico anhidro"
"331","Fosfato diácido de  sodio hidratado"
"332","Molibdato de sodio dihidratado"
"333","Nitrato de sodio"
"334","Nitrito de sodio"
"335","Oxalato de sodio"
"336","Fosfato diácido de sodio anhidro"
"338","Salicilato de sodio"
"339","Sulfato de sodio anhidro"
"340","Sulfato de sodio decahidratado"
"341","Zinc metálico (polvo)"
"342","Zinc metálico (granular)"
"343","Sulfato de zinc anhidro"
"344","Sulfato de zinc heptahidratado"
"345","Hidrógeno sulfato de sodio monohidratado"
"346","Sulfito de sodio"
"347","Tartrato de sodio anhidro"
"348","Tartrato de sodio dihidratado"
"349","Tiosulfato de sodio anhidro"
"350","Tiosulfato de sodio pentahidratado"
"351","Volframato  de sodio dihidratado"
"352","Yoduro de sodio"
"353","Yodo sublimado"
"354","Cloruro de zinc"
"355","Óxido de zinc"
"356","Anhídrido acético"
"357","1,4-Dioxano"
"358","1-Hexeno"
"359","2-Bromobutano"
"360","2-Bromopropano"
"361","Acetaldehído"
"362","Acetato de etilo"
"363","Acetilacetona"
"364","Acetofenona"
"365","Acetona"
"366","Bálsamo de Canadá"
"367","Benzaldehído"
"368","Ciclohexano"
"369","Ciclohexeno"
"370","Cloroformo"
"371","Diclorometano"
"372","Dimetilsulfóxido"
"373","Éter etílico"
"374","Éter de petróleo"
"375","Etilendiamina"
"376","Etilmetilcetona"
"377","Etilenglicol"
"378","Formaldehído 37%"
"379","Ftalato de dibutilo"
"380","Glicerina anhidra"
"381","Glicerina grado reactivo"
"382","Hexano"
"387","Sulfato de cobre (II) pentahidratado"
"388","Balón aforado 5mL"
